Tweet,Sentiment
@drdrew *gives a hug and a cookie* Hope you feel better!,4
"Just wrote on a toilet wall... but only to correct poor spelling. And in highlighter, so it will wash off. HARDCORE",4
had a good tech meeting at clubZone - dinner was sushi,4
@iamdiddy your telling me.. just finished doing 200 crunches!  step it up Diddy ! LETS GO!,4
@its_yvonne daaang i didn't know it was possible to talk that long! what'd you guys talk about,4
@LaurUy West.  Mostly San Jose and San Francisco.,4
"Nikki is off working her ass off on a bike, trying to recover from her knee injury.  (Good for her.",4
21 Days till chris comes home and 67 days till summer ,4
@therealjspace am I the first one to tell you you tweet the most while drinking! LOL.,4
Easy Rider till I fall asleep,4
"@miketomalaris I'm very, very, very excited about the live broadcast of Paris-Roubaix.",4
@belliestobabies I have two too. I just don't know how people survive winter without jungle gyms at home,4
@Greeks05 its pretty lame..hahaha but yay i get to stalk your sexy ass on here now ,4
"@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha",4
@suitelifeofkell that's freakin' cooool   i love twitter .haha,4
why does Brissa not even know she has a twitter? -Lauren ,4
@amandahesser thanks!  i couldn't have done it without you,4
... 31 days until I leave for Ontario!! ,4
"@iamdiddy I hate it too, but I just got back from the trainer. Go! ",4
@nikhilnarayanan saw the tvc yesterday.. worked for me,4
Jon could totally say Mannies and Peddies and I would shut my fat face about it.,4
"ood luck for Lauren and the rest of the cast of TBS, can't wait for something to leak ",4
@izzakizza nada just tryna holla holla.   hows the mixtape coming up?,4
"@firestoned - Dude, stars are always awesome.    Surprised to see you tweeting.",4
@kayotae Just had a martini myself.,4
city all day soo happy to be home. school in the morning,4
"""@JonathanRKnight Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!  ",4
"since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. ",4
